CIP6 ID,CIP6,Year,Completions
10303,Aquaculture,2015,33.0
10303,Aquaculture,2016,40.0
10303,Aquaculture,2017,35.0
10303,Aquaculture,2018,41.0
10303,Aquaculture,2019,46.0
10303,Aquaculture,2020,40.0
10303,Aquaculture,2021,15.0
10303,Aquaculture,2022,34.0
10303,Aquaculture,2023,28.0
10303,Aquaculture,2024,29.0
10304,Crop Production,2012,8.0
10304,Crop Production,2013,8.0
10304,Crop Production,2014,3.0
10304,Crop Production,2015,2.0
10304,Crop Production,2016,7.0
10304,Crop Production,2017,0.0
10304,Crop Production,2018,0.0
10307,Horse Husbandry & Equine Management,2013,3.0
10307,Horse Husbandry & Equine Management,2014,5.0
10307,Horse Husbandry & Equine Management,2015,6.0
10307,Horse Husbandry & Equine Management,2016,7.0
10307,Horse Husbandry & Equine Management,2017,10.0
10307,Horse Husbandry & Equine Management,2018,7.0
10307,Horse Husbandry & Equine Management,2019,6.0
10307,Horse Husbandry & Equine Management,2020,3.0
10307,Horse Husbandry & Equine Management,2021,7.0
10307,Horse Husbandry & Equine Management,2022,2.0
10307,Horse Husbandry & Equine Management,2023,2.0
10307,Horse Husbandry & Equine Management,2024,0.0
10308,Agroecology & Sustainable Agriculture,2012,20.0
10308,Agroecology & Sustainable Agriculture,2013,13.0
10308,Agroecology & Sustainable Agriculture,2014,58.0
10308,Agroecology & Sustainable Agriculture,2015,91.0
10308,Agroecology & Sustainable Agriculture,2016,91.0
10308,Agroecology & Sustainable Agriculture,2017,65.0
10308,Agroecology & Sustainable Agriculture,2018,78.0
10308,Agroecology & Sustainable Agriculture,2019,51.0
10308,Agroecology & Sustainable Agriculture,2020,64.0
10308,Agroecology & Sustainable Agriculture,2021,86.0
10308,Agroecology & Sustainable Agriculture,2022,86.0
10308,Agroecology & Sustainable Agriculture,2023,105.0
10308,Agroecology & Sustainable Agriculture,2024,120.0
10309,Viticulture & Enology,2012,6.0
10309,Viticulture & Enology,2013,12.0
10309,Viticulture & Enology,2014,10.0
10309,Viticulture & Enology,2015,10.0
10309,Viticulture & Enology,2016,0.0
10309,Viticulture & Enology,2017,0.0
10309,Viticulture & Enology,2018,0.0
10309,Viticulture & Enology,2019,0.0
10401,Agricultural & Food Products Processing,2012,2.0
10401,Agricultural & Food Products Processing,2013,7.0
10401,Agricultural & Food Products Processing,2014,0.0
10401,Agricultural & Food Products Processing,2015,0.0
10401,Agricultural & Food Products Processing,2016,0.0
10401,Agricultural & Food Products Processing,2017,0.0
10401,Agricultural & Food Products Processing,2018,0.0
10401,Agricultural & Food Products Processing,2019,0.0
10401,Agricultural & Food Products Processing,2020,0.0
10401,Agricultural & Food Products Processing,2021,0.0
10505,Animal Training,2022,1.0
10505,Animal Training,2023,48.0
10505,Animal Training,2024,101.0
10601,General Applied Horticulture Operations,2012,17.0
10601,General Applied Horticulture Operations,2013,21.0
10601,General Applied Horticulture Operations,2014,33.0
10601,General Applied Horticulture Operations,2015,19.0
10601,General Applied Horticulture Operations,2016,14.0
10601,General Applied Horticulture Operations,2017,11.0
10601,General Applied Horticulture Operations,2018,7.0
10601,General Applied Horticulture Operations,2019,6.0
10601,General Applied Horticulture Operations,2020,9.0
10601,General Applied Horticulture Operations,2021,4.0
10601,General Applied Horticulture Operations,2022,3.0
10601,General Applied Horticulture Operations,2023,0.0
10601,General Applied Horticulture Operations,2024,0.0
10603,Ornamental Horticulture,2012,5.0
10603,Ornamental Horticulture,2013,12.0
10603,Ornamental Horticulture,2014,8.0
10603,Ornamental Horticulture,2015,7.0
10603,Ornamental Horticulture,2016,10.0
10603,Ornamental Horticulture,2017,6.0
10603,Ornamental Horticulture,2018,6.0
10603,Ornamental Horticulture,2019,1.0
10603,Ornamental Horticulture,2020,9.0
10603,Ornamental Horticulture,2021,5.0
10603,Ornamental Horticulture,2022,0.0
10603,Ornamental Horticulture,2023,0.0
10603,Ornamental Horticulture,2024,0.0
10605,Landscaping & Groundskeeping,2012,3.0
10605,Landscaping & Groundskeeping,2013,4.0
10605,Landscaping & Groundskeeping,2014,8.0
10605,Landscaping & Groundskeeping,2015,7.0
10605,Landscaping & Groundskeeping,2016,6.0
10605,Landscaping & Groundskeeping,2017,5.0
10605,Landscaping & Groundskeeping,2018,2.0
10605,Landscaping & Groundskeeping,2020,0.0
10605,Landscaping & Groundskeeping,2021,0.0
10605,Landscaping & Groundskeeping,2022,0.0
10607,Turf & Turfgrass Management,2012,3.0
10607,Turf & Turfgrass Management,2013,11.0
10607,Turf & Turfgrass Management,2014,10.0
10607,Turf & Turfgrass Management,2015,8.0
10607,Turf & Turfgrass Management,2016,7.0
10607,Turf & Turfgrass Management,2017,7.0
10607,Turf & Turfgrass Management,2018,4.0
10607,Turf & Turfgrass Management,2019,4.0
10607,Turf & Turfgrass Management,2020,6.0
10607,Turf & Turfgrass Management,2021,3.0
10607,Turf & Turfgrass Management,2022,5.0
10607,Turf & Turfgrass Management,2023,6.0
10607,Turf & Turfgrass Management,2024,4.0
10609,Public Horticulture,2021,0.0
10609,Public Horticulture,2022,0.0
10609,Public Horticulture,2023,0.0
10609,Public Horticulture,2024,0.0
10701,International Agriculture,2012,28.0
10701,International Agriculture,2013,26.0
10701,International Agriculture,2014,50.0
10701,International Agriculture,2015,43.0
10701,International Agriculture,2016,47.0
10701,International Agriculture,2017,84.0
10701,International Agriculture,2018,54.0
10701,International Agriculture,2019,59.0
10701,International Agriculture,2020,61.0
10701,International Agriculture,2021,46.0
10701,International Agriculture,2022,29.0
10701,International Agriculture,2023,24.0
10701,International Agriculture,2024,22.0
10801,Agricultural & Extension Education Services,2012,63.0
10801,Agricultural & Extension Education Services,2013,55.0
10801,Agricultural & Extension Education Services,2014,77.0
10801,Agricultural & Extension Education Services,2015,68.0
10801,Agricultural & Extension Education Services,2016,79.0
10801,Agricultural & Extension Education Services,2017,71.0
10801,Agricultural & Extension Education Services,2018,95.0
10801,Agricultural & Extension Education Services,2019,95.0
10801,Agricultural & Extension Education Services,2020,127.0
10801,Agricultural & Extension Education Services,2021,125.0
10801,Agricultural & Extension Education Services,2022,139.0
10801,Agricultural & Extension Education Services,2023,168.0
10801,Agricultural & Extension Education Services,2024,177.0
10802,Agricultural Communication & Journalism,2012,32.0
10802,Agricultural Communication & Journalism,2013,17.0
10802,Agricultural Communication & Journalism,2014,23.0
10802,Agricultural Communication & Journalism,2015,26.0
10802,Agricultural Communication & Journalism,2016,18.0
10802,Agricultural Communication & Journalism,2017,14.0
10802,Agricultural Communication & Journalism,2018,27.0
10802,Agricultural Communication & Journalism,2019,22.0
10802,Agricultural Communication & Journalism,2020,26.0
10802,Agricultural Communication & Journalism,2021,29.0
10802,Agricultural Communication & Journalism,2022,38.0
10802,Agricultural Communication & Journalism,2023,19.0
10802,Agricultural Communication & Journalism,2024,30.0
10899,Other Agricultural Public Services,2013,0.0
10899,Other Agricultural Public Services,2014,3.0
10899,Other Agricultural Public Services,2015,3.0
10899,Other Agricultural Public Services,2016,6.0
10899,Other Agricultural Public Services,2017,8.0
10899,Other Agricultural Public Services,2018,5.0
10899,Other Agricultural Public Services,2019,9.0
10899,Other Agricultural Public Services,2020,8.0
10899,Other Agricultural Public Services,2021,2.0
10899,Other Agricultural Public Services,2022,5.0
10899,Other Agricultural Public Services,2023,12.0
10899,Other Agricultural Public Services,2024,15.0
10901,General Animal Sciences,2012,383.0
10901,General Animal Sciences,2013,393.0
10901,General Animal Sciences,2014,389.0
10901,General Animal Sciences,2015,381.0
10901,General Animal Sciences,2016,411.0
10901,General Animal Sciences,2017,448.0
10901,General Animal Sciences,2018,418.0
10901,General Animal Sciences,2019,418.0
10901,General Animal Sciences,2020,417.0
10901,General Animal Sciences,2021,365.0
10901,General Animal Sciences,2022,394.0
10901,General Animal Sciences,2023,434.0
10901,General Animal Sciences,2024,452.0
10902,Agricultural Animal Breeding,2012,11.0
10902,Agricultural Animal Breeding,2013,0.0
10902,Agricultural Animal Breeding,2014,5.0
10902,Agricultural Animal Breeding,2015,10.0
10902,Agricultural Animal Breeding,2016,7.0
10902,Agricultural Animal Breeding,2017,5.0
10902,Agricultural Animal Breeding,2018,4.0
10902,Agricultural Animal Breeding,2019,8.0
10902,Agricultural Animal Breeding,2020,8.0
10902,Agricultural Animal Breeding,2021,5.0
10902,Agricultural Animal Breeding,2022,3.0
10902,Agricultural Animal Breeding,2023,3.0
10902,Agricultural Animal Breeding,2024,8.0
10903,Animal Health,2012,8.0
10903,Animal Health,2013,5.0
10903,Animal Health,2014,2.0
10903,Animal Health,2015,2.0
10903,Animal Health,2016,2.0
10903,Animal Health,2017,1.0
10903,Animal Health,2018,1.0
10903,Animal Health,2019,0.0
10903,Animal Health,2020,2.0
10903,Animal Health,2021,0.0
10903,Animal Health,2022,4.0
10903,Animal Health,2023,8.0
10903,Animal Health,2024,32.0
10905,Dairy Science,2012,15.0
10905,Dairy Science,2013,8.0
10905,Dairy Science,2014,10.0
10905,Dairy Science,2015,9.0
10905,Dairy Science,2016,29.0
10905,Dairy Science,2017,20.0
10905,Dairy Science,2018,33.0
10905,Dairy Science,2019,20.0
10905,Dairy Science,2020,20.0
10905,Dairy Science,2021,10.0
10905,Dairy Science,2022,6.0
10905,Dairy Science,2023,8.0
10905,Dairy Science,2024,10.0
10906,Livestock Management,2012,1.0
10906,Livestock Management,2013,2.0
10906,Livestock Management,2014,1.0
10906,Livestock Management,2015,3.0
10906,Livestock Management,2016,2.0
10906,Livestock Management,2017,1.0
10906,Livestock Management,2018,2.0
10906,Livestock Management,2019,4.0
10906,Livestock Management,2020,1.0
10906,Livestock Management,2021,2.0
10906,Livestock Management,2022,2.0
10906,Livestock Management,2023,2.0
10906,Livestock Management,2024,3.0
10907,Poultry Science,2012,17.0
10907,Poultry Science,2013,18.0
10907,Poultry Science,2014,15.0
10907,Poultry Science,2015,15.0
10907,Poultry Science,2016,19.0
10907,Poultry Science,2017,32.0
10907,Poultry Science,2018,17.0
10907,Poultry Science,2019,22.0
10907,Poultry Science,2020,18.0
10907,Poultry Science,2021,17.0
10907,Poultry Science,2022,25.0
10907,Poultry Science,2023,24.0
10907,Poultry Science,2024,25.0
10999,Other Animal Science,2012,3.0
10999,Other Animal Science,2013,7.0
10999,Other Animal Science,2014,4.0
10999,Other Animal Science,2015,2.0
10999,Other Animal Science,2016,5.0
10999,Other Animal Science,2017,3.0
10999,Other Animal Science,2018,4.0
10999,Other Animal Science,2019,28.0
10999,Other Animal Science,2020,20.0
10999,Other Animal Science,2021,6.0
10999,Other Animal Science,2022,2.0
10999,Other Animal Science,2023,5.0
10999,Other Animal Science,2024,1.0
11001,Food Science,2012,351.0
11001,Food Science,2013,386.0
11001,Food Science,2014,447.0
11001,Food Science,2015,434.0
11001,Food Science,2016,416.0
11001,Food Science,2017,441.0
11001,Food Science,2018,451.0
11001,Food Science,2019,482.0
11001,Food Science,2020,441.0
11001,Food Science,2021,440.0
11001,Food Science,2022,445.0
11001,Food Science,2023,408.0
11001,Food Science,2024,438.0
11002,Food Technology & Processing,2012,3.0
11002,Food Technology & Processing,2013,11.0
11002,Food Technology & Processing,2014,16.0
11002,Food Technology & Processing,2015,17.0
11002,Food Technology & Processing,2016,14.0
11002,Food Technology & Processing,2017,19.0
11002,Food Technology & Processing,2018,10.0
11002,Food Technology & Processing,2019,15.0
11002,Food Technology & Processing,2020,23.0
11002,Food Technology & Processing,2021,16.0
11002,Food Technology & Processing,2022,19.0
11002,Food Technology & Processing,2023,22.0
11002,Food Technology & Processing,2024,21.0
11003,Brewing Science,2024,11.0
11004,Viticulture And Enology,2020,0.0
11004,Viticulture And Enology,2021,0.0
11004,Viticulture And Enology,2022,0.0
11004,Viticulture And Enology,2023,0.0
11004,Viticulture And Enology,2024,0.0
11099,Other Food Science & Technology,2012,40.0
11099,Other Food Science & Technology,2013,33.0
11099,Other Food Science & Technology,2014,23.0
11099,Other Food Science & Technology,2015,35.0
11099,Other Food Science & Technology,2016,33.0
11099,Other Food Science & Technology,2017,32.0
11099,Other Food Science & Technology,2018,36.0
11099,Other Food Science & Technology,2019,36.0
11099,Other Food Science & Technology,2020,43.0
11099,Other Food Science & Technology,2021,36.0
11099,Other Food Science & Technology,2022,53.0
11099,Other Food Science & Technology,2023,26.0
11099,Other Food Science & Technology,2024,52.0
11101,General Plant Sciences,2012,72.0
11101,General Plant Sciences,2013,86.0
11101,General Plant Sciences,2014,105.0
11101,General Plant Sciences,2015,92.0
11101,General Plant Sciences,2016,94.0
11101,General Plant Sciences,2017,97.0
11101,General Plant Sciences,2018,88.0
11101,General Plant Sciences,2019,121.0
11101,General Plant Sciences,2020,98.0
11101,General Plant Sciences,2021,102.0
11101,General Plant Sciences,2022,98.0
11101,General Plant Sciences,2023,102.0
11101,General Plant Sciences,2024,96.0
11102,Agronomy & Crop Science,2012,202.0
11102,Agronomy & Crop Science,2013,209.0
11102,Agronomy & Crop Science,2014,216.0
11102,Agronomy & Crop Science,2015,187.0
11102,Agronomy & Crop Science,2016,204.0
11102,Agronomy & Crop Science,2017,231.0
11102,Agronomy & Crop Science,2018,282.0
11102,Agronomy & Crop Science,2019,261.0
11102,Agronomy & Crop Science,2020,227.0
11102,Agronomy & Crop Science,2021,221.0
11102,Agronomy & Crop Science,2022,191.0
11102,Agronomy & Crop Science,2023,212.0
11102,Agronomy & Crop Science,2024,223.0
11103,Horticultural Science,2012,99.0
11103,Horticultural Science,2013,109.0
11103,Horticultural Science,2014,90.0
11103,Horticultural Science,2015,105.0
11103,Horticultural Science,2016,100.0
11103,Horticultural Science,2017,104.0
11103,Horticultural Science,2018,140.0
11103,Horticultural Science,2019,110.0
11103,Horticultural Science,2020,140.0
11103,Horticultural Science,2021,117.0
11103,Horticultural Science,2022,121.0
11103,Horticultural Science,2023,138.0
11103,Horticultural Science,2024,167.0
11104,Agricultural & Horticultural Plant Breeding,2012,37.0
11104,Agricultural & Horticultural Plant Breeding,2013,25.0
11104,Agricultural & Horticultural Plant Breeding,2014,11.0
11104,Agricultural & Horticultural Plant Breeding,2015,19.0
11104,Agricultural & Horticultural Plant Breeding,2016,29.0
11104,Agricultural & Horticultural Plant Breeding,2017,21.0
11104,Agricultural & Horticultural Plant Breeding,2018,25.0
11104,Agricultural & Horticultural Plant Breeding,2019,20.0
11104,Agricultural & Horticultural Plant Breeding,2020,23.0
11104,Agricultural & Horticultural Plant Breeding,2021,27.0
11104,Agricultural & Horticultural Plant Breeding,2022,15.0
11104,Agricultural & Horticultural Plant Breeding,2023,17.0
11104,Agricultural & Horticultural Plant Breeding,2024,16.0
11105,Plant Protection & Integrated Pest Management,2012,19.0
11105,Plant Protection & Integrated Pest Management,2013,25.0
11105,Plant Protection & Integrated Pest Management,2014,23.0
11105,Plant Protection & Integrated Pest Management,2015,20.0
11105,Plant Protection & Integrated Pest Management,2016,29.0
11105,Plant Protection & Integrated Pest Management,2017,50.0
11105,Plant Protection & Integrated Pest Management,2018,30.0
11105,Plant Protection & Integrated Pest Management,2019,42.0
11105,Plant Protection & Integrated Pest Management,2020,36.0
11105,Plant Protection & Integrated Pest Management,2021,39.0
11105,Plant Protection & Integrated Pest Management,2022,41.0
11105,Plant Protection & Integrated Pest Management,2023,35.0
11105,Plant Protection & Integrated Pest Management,2024,36.0
11106,Range Science & Management,2012,45.0
11106,Range Science & Management,2013,43.0
11106,Range Science & Management,2014,33.0
11106,Range Science & Management,2015,30.0
11106,Range Science & Management,2016,28.0
11106,Range Science & Management,2017,34.0
11106,Range Science & Management,2018,37.0
11106,Range Science & Management,2019,27.0
11106,Range Science & Management,2020,27.0
11106,Range Science & Management,2021,24.0
11106,Range Science & Management,2022,30.0
11106,Range Science & Management,2023,37.0
11106,Range Science & Management,2024,15.0
11199,Other Plant Sciences,2012,48.0
11199,Other Plant Sciences,2013,50.0
11199,Other Plant Sciences,2014,54.0
11199,Other Plant Sciences,2015,51.0
11199,Other Plant Sciences,2016,60.0
11199,Other Plant Sciences,2017,50.0
11199,Other Plant Sciences,2018,61.0
11199,Other Plant Sciences,2019,56.0
11199,Other Plant Sciences,2020,63.0
11199,Other Plant Sciences,2021,64.0
11199,Other Plant Sciences,2022,60.0
11199,Other Plant Sciences,2023,71.0
11199,Other Plant Sciences,2024,64.0
11201,General Soil Science & Agronomy,2012,127.0
11201,General Soil Science & Agronomy,2013,125.0
11201,General Soil Science & Agronomy,2014,108.0
11201,General Soil Science & Agronomy,2015,107.0
11201,General Soil Science & Agronomy,2016,123.0
11201,General Soil Science & Agronomy,2017,107.0
11201,General Soil Science & Agronomy,2018,92.0
11201,General Soil Science & Agronomy,2019,93.0
11201,General Soil Science & Agronomy,2020,101.0
11201,General Soil Science & Agronomy,2021,84.0
11201,General Soil Science & Agronomy,2022,94.0
11201,General Soil Science & Agronomy,2023,102.0
11201,General Soil Science & Agronomy,2024,104.0
11202,Soil Chemistry & Physics,2012,5.0
11202,Soil Chemistry & Physics,2013,6.0
11202,Soil Chemistry & Physics,2014,0.0
11202,Soil Chemistry & Physics,2015,4.0
11202,Soil Chemistry & Physics,2016,4.0
11202,Soil Chemistry & Physics,2017,2.0
11202,Soil Chemistry & Physics,2018,1.0
11202,Soil Chemistry & Physics,2019,1.0
11202,Soil Chemistry & Physics,2020,4.0
11202,Soil Chemistry & Physics,2021,1.0
11202,Soil Chemistry & Physics,2022,4.0
11202,Soil Chemistry & Physics,2023,5.0
11202,Soil Chemistry & Physics,2024,2.0
11299,Other Soil Sciences,2012,12.0
11299,Other Soil Sciences,2013,11.0
11299,Other Soil Sciences,2014,13.0
11299,Other Soil Sciences,2015,16.0
11299,Other Soil Sciences,2016,12.0
11299,Other Soil Sciences,2017,7.0
11299,Other Soil Sciences,2018,8.0
11299,Other Soil Sciences,2019,7.0
11299,Other Soil Sciences,2020,12.0
11299,Other Soil Sciences,2021,14.0
11299,Other Soil Sciences,2022,5.0
11299,Other Soil Sciences,2023,10.0
11299,Other Soil Sciences,2024,14.0
11302,Pre-Veterinary Studies,2022,0.0
11302,Pre-Veterinary Studies,2023,0.0
11302,Pre-Veterinary Studies,2024,0.0
18101,"Veterinary Sciences/Veterinary Clinical Sciences, General",2020,130.0
18101,"Veterinary Sciences/Veterinary Clinical Sciences, General",2021,177.0
18101,"Veterinary Sciences/Veterinary Clinical Sciences, General",2022,211.0
18101,"Veterinary Sciences/Veterinary Clinical Sciences, General",2023,159.0
18101,"Veterinary Sciences/Veterinary Clinical Sciences, General",2024,175.0
18102,Comparative And Laboratory Animal Medicine,2020,48.0
18102,Comparative And Laboratory Animal Medicine,2021,51.0
18102,Comparative And Laboratory Animal Medicine,2022,48.0
18102,Comparative And Laboratory Animal Medicine,2023,41.0
18102,Comparative And Laboratory Animal Medicine,2024,49.0
18103,Large Animal/Food Animal And Equine Surgery And Medicine,2020,1.0
18103,Large Animal/Food Animal And Equine Surgery And Medicine,2021,0.0
18103,Large Animal/Food Animal And Equine Surgery And Medicine,2022,1.0
18103,Large Animal/Food Animal And Equine Surgery And Medicine,2023,1.0
18103,Large Animal/Food Animal And Equine Surgery And Medicine,2024,0.0
18104,Small/Companion Animal Surgery And Medicine,2020,5.0
18104,Small/Companion Animal Surgery And Medicine,2021,6.0
18104,Small/Companion Animal Surgery And Medicine,2022,5.0
18104,Small/Companion Animal Surgery And Medicine,2023,8.0
18104,Small/Companion Animal Surgery And Medicine,2024,3.0
18106,Veterinary Infectious Diseases,2020,20.0
18106,Veterinary Infectious Diseases,2021,21.0
18106,Veterinary Infectious Diseases,2022,20.0
18106,Veterinary Infectious Diseases,2023,22.0
18106,Veterinary Infectious Diseases,2024,19.0
18107,Veterinary Microbiology And Immunobiology,2020,3.0
18107,Veterinary Microbiology And Immunobiology,2021,2.0
18107,Veterinary Microbiology And Immunobiology,2022,1.0
18107,Veterinary Microbiology And Immunobiology,2023,2.0
18107,Veterinary Microbiology And Immunobiology,2024,4.0
18108,Veterinary Pathology And Pathobiology,2020,12.0
18108,Veterinary Pathology And Pathobiology,2021,11.0
18108,Veterinary Pathology And Pathobiology,2022,12.0
18108,Veterinary Pathology And Pathobiology,2023,15.0
18108,Veterinary Pathology And Pathobiology,2024,18.0
18110,"Veterinary Preventive Medicine, Epidemiology, And Public Health",2020,17.0
18110,"Veterinary Preventive Medicine, Epidemiology, And Public Health",2021,21.0
18110,"Veterinary Preventive Medicine, Epidemiology, And Public Health",2022,22.0
18110,"Veterinary Preventive Medicine, Epidemiology, And Public Health",2023,31.0
18110,"Veterinary Preventive Medicine, Epidemiology, And Public Health",2024,25.0
18199,"Veterinary Biomedical And Clinical Sciences, Other",2024,0.0
18301,Veterinary/Animal Health Technology/Technician And Veterinary Assistant,2020,0.0
18301,Veterinary/Animal Health Technology/Technician And Veterinary Assistant,2021,0.0
18301,Veterinary/Animal Health Technology/Technician And Veterinary Assistant,2022,0.0
19999,"Other Agriculture, Operations, & Related Sciences",2012,31.0
19999,"Other Agriculture, Operations, & Related Sciences",2013,25.0
19999,"Other Agriculture, Operations, & Related Sciences",2014,33.0
19999,"Other Agriculture, Operations, & Related Sciences",2015,32.0
19999,"Other Agriculture, Operations, & Related Sciences",2016,41.0
19999,"Other Agriculture, Operations, & Related Sciences",2017,31.0
19999,"Other Agriculture, Operations, & Related Sciences",2018,49.0
19999,"Other Agriculture, Operations, & Related Sciences",2019,42.0
19999,"Other Agriculture, Operations, & Related Sciences",2020,74.0
19999,"Other Agriculture, Operations, & Related Sciences",2021,94.0
19999,"Other Agriculture, Operations, & Related Sciences",2022,104.0
19999,"Other Agriculture, Operations, & Related Sciences",2023,104.0
19999,"Other Agriculture, Operations, & Related Sciences",2024,122.0
30101,General Natural Resources & Conservation,2012,588.0
30101,General Natural Resources & Conservation,2013,605.0
30101,General Natural Resources & Conservation,2014,602.0
30101,General Natural Resources & Conservation,2015,452.0
30101,General Natural Resources & Conservation,2016,422.0
30101,General Natural Resources & Conservation,2017,653.0
30101,General Natural Resources & Conservation,2018,582.0
30101,General Natural Resources & Conservation,2019,677.0
30101,General Natural Resources & Conservation,2020,679.0
30101,General Natural Resources & Conservation,2021,721.0
30101,General Natural Resources & Conservation,2022,790.0
30101,General Natural Resources & Conservation,2023,919.0
30101,General Natural Resources & Conservation,2024,765.0
30103,Environmental Studies,2012,789.0
30103,Environmental Studies,2013,834.0
30103,Environmental Studies,2014,962.0
30103,Environmental Studies,2015,1084.0
30103,Environmental Studies,2016,1158.0
30103,Environmental Studies,2017,949.0
30103,Environmental Studies,2018,1316.0
30103,Environmental Studies,2019,1300.0
30103,Environmental Studies,2020,1367.0
30103,Environmental Studies,2021,1355.0
30103,Environmental Studies,2022,1513.0
30103,Environmental Studies,2023,1614.0
30103,Environmental Studies,2024,1527.0
30104,Environmental Science,2012,965.0
30104,Environmental Science,2013,1102.0
30104,Environmental Science,2014,1037.0
30104,Environmental Science,2015,962.0
30104,Environmental Science,2016,1019.0
30104,Environmental Science,2017,937.0
30104,Environmental Science,2018,908.0
30104,Environmental Science,2019,941.0
30104,Environmental Science,2020,927.0
30104,Environmental Science,2021,978.0
